home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Belgium,Hungary,1,,1,,Guy Thys,Eric Gerets,Kalman Meszoly,Tibor Nyilasi,37000,Nuevo Estadio- Elche,First group stage,30124,Clive White,Spain,1982
Soviet Union,Scotland,2,,2,,Konstantin Beskov,Aleksandre Chivadze,Jock Stein,Graeme Souness,45000,La Rosaleda- Malaga,First group stage,30124,Nicolae Rainea,Spain,1982
Algeria,Austria,0,,2,,Rachid Mekhloufi,Ali Fergani,Georg Schmidt,Erich Obermayer,22000,Carlos Tartiere- Oviedo,First group stage,30123,Tony Boskovic,Spain,1982
France,Kuwait,4,,1,,Michel Hidalgo,Michel Platini,Carlos Alberto Parreira,Saad Al-Houti,30043,Jose Zorrilla- Valladolid,First group stage,30123,Miroslav Stupar,Spain,1982
Honduras,Northern Ireland,1,,1,,Jose De La Paz,Ramón Maradiaga,Billy Bingham,Martin O'Neill,15000,La Romareda- Zaragoza,First group stage,30123,Thomson Tam Sun Chan,Spain,1982
Germany,Chile,4,,1,,Jupp Derwall,Karl-Heinz Rummenigge,Luis Alberto Santibanez,Elías Figueroa,42000,El Molinon- Gijon,First group stage,30122,Bruno Galler,Spain,1982
England,Czechoslovakia,2,,0,,Ron Greenwood,Mick Mills,Jozef Venglos,Zdeněk Nehoda,41123,San Mames- Bilbao,First group stage,30122,Charles Corver,Spain,1982
Spain,Yugoslavia,2,,1,,Jose Santamaria,Luis Arconada,Miljan Miljanic,Ivica Šurjak,48000,Luis Casanova- Valencia,First group stage,30122,Henning Lund-Sorensen,Spain,1982
Poland,Cameroon,0,,0,,Antoni Piechniczek,Władysław Żmuda,Jean Vincent,Thomas N'Kono,19000,Riazor- La Coruï¿½A,First group stage,30121,Alexis Ponnet,Spain,1982
Soviet Union,New Zealand,3,,0,,Konstantin Beskov,Aleksandre Chivadze,John Adshead,Steve Sumner,19000,La Rosaleda- Malaga,First group stage,30121,Yusef Mohamed El Ghoul,Spain,1982
Belgium,El Salvador,1,,0,,Guy Thys,Eric Gerets,Mauricio Rodriguez,Norberto Huezo,15000,Nuevo Estadio- Elche,First group stage,30121,Malcolm Moffatt,Spain,1982
Italy,Peru,1,,1,,Enzo Bearzot,Dino Zoff,Tim,Rubén Toribio Díaz,25000,Estadio Municipal de Balaï¿½dos- Vigo,First group stage,30120,Walter Eschweiler,Spain,1982
Brazil,Scotland,4,,1,,Tele Santana,Sócrates,Jock Stein,Graeme Souness,47379,Benito Villamarin- Seville,First group stage,30120,Jesus Paulino Siles,Spain,1982
Argentina,Hungary,4,,1,,Cesar Luis Menotti,Daniel Passarella,Kalman Meszoly,Tibor Nyilasi,32093,Jose Rico Perez- Alicante,First group stage,30120,Belaid Lacarne,Spain,1982
Chile,Austria,0,,1,,Luis Alberto Santibanez,Elías Figueroa,Georg Schmidt,Erich Obermayer,22500,Carlos Tartiere- Oviedo,First group stage,30119,Juan Cardellino De San Vicente,Spain,1982
Czechoslovakia,Kuwait,1,,1,,Jozef Venglos,Zdeněk Nehoda,Carlos Alberto Parreira,Saad Al-Houti,25000,Jose Zorrilla- Valladolid,First group stage,30119,Benjamin Dwomoh,Spain,1982
Yugoslavia,Northern Ireland,0,,0,,Miljan Miljanic,Ivica Šurjak,Billy Bingham,Martin O'Neill,25000,La Romareda- Zaragoza,First group stage,30119,Erik Fredriksson,Spain,1982
England,France,3,,1,,Ron Greenwood,Mick Mills,Michel Hidalgo,Michel Platini,44172,San Mames- Bilbao,First group stage,30118,Antonio Garrido,Spain,1982
Germany,Algeria,1,,2,,Jupp Derwall,Karl-Heinz Rummenigge,Rachid Mekhloufi,Ali Fergani,42000,El Molinon- Gijon,First group stage,30118,Enrique Labo Revoredo,Spain,1982
Spain,Honduras,1,,1,,Jose Santamaria,Luis Arconada,Jose De La Paz,Ramón Maradiaga,49562,Luis Casanova- Valencia,First group stage,30118,Arturo Andres Ithurralde,Spain,1982
Peru,Cameroon,0,,0,,Tim,Rubén Toribio Díaz,Jean Vincent,Thomas N'Kono,11000,Riazor- La Coruï¿½A,First group stage,30117,Franz Woehrer,Spain,1982
Hungary,El Salvador,10,,1,,Kalman Meszoly,Tibor Nyilasi,Mauricio Rodriguez,Norberto Huezo,23000,Nuevo Estadio- Elche,First group stage,30117,Ebrahim Al Doy,Spain,1982
Scotland,New Zealand,5,,2,,Jock Stein,Danny McGrain,John Adshead,Steve Sumner,36000,La Rosaleda- Malaga,First group stage,30117,David Socha,Spain,1982
Italy,Poland,0,,0,,Enzo Bearzot,Dino Zoff,Antoni Piechniczek,Władysław Żmuda,33000,Estadio Municipal de Balaï¿½dos- Vigo,First group stage,30116,Michel Vautrot,Spain,1982
Brazil,Soviet Union,2,,1,,Tele Santana,Sócrates,Konstantin Beskov,Aleksandre Chivadze,68000,Ramon Sanchez Pizjuan- Seville,First group stage,30116,Augusto Lamo Castillo,Spain,1982
Argentina,Belgium,0,,1,,Cesar Luis Menotti,Daniel Passarella,Guy Thys,Eric Gerets,95000,Camp Nou- Barcelona,First group stage,30115,Vojtech Christov,Spain,1982
Argentina,Netherlands,3,,1,,Cesar Luis Menotti,Daniel Passarella,Ernst Happel,Ruud Krol,71483,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,Final,28666,Sergio Gonella,Argentina,1978
Brazil,Italy,2,,1,,Claudio Coutinho,Émerson Leão,Enzo Bearzot,Dino Zoff,69659,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,Third-place match,28665,Abraham Klein,Argentina,1978
Netherlands,Italy,2,,1,,Ernst Happel,Ruud Krol,Enzo Bearzot,Dino Zoff,67433,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,Second round,28662,Angel Martinez,Argentina,1978
Austria,Germany,3,,2,,Helmut Senekowitsch,Robert Sara,Helmut Schoen,Berti Vogts,38318,Estadio Olï¿½mpico Chateau Carreras- Cordoba,Second round,28662,Abraham Klein,Argentina,1978
Brazil,Poland,3,,1,,Claudio Coutinho,Émerson Leão,Jacek Gmoch,Kazimierz Deyna,39586,San Martin- Mendoza,Second round,28662,Juan Silvagno Cavanna,Argentina,1978
Argentina,Peru,6,,0,,Cesar Luis Menotti,Daniel Passarella,Marcos Calderon,Héctor Chumpitaz,37315,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,Second round,28662,Robert Wurtz,Argentina,1978
Poland,Peru,1,,0,,Jacek Gmoch,Kazimierz Deyna,Marcos Calderon,Héctor Chumpitaz,35288,San Martin- Mendoza,Second round,28659,Pat Partridge,Argentina,1978
Germany,Netherlands,2,,2,,Helmut Schoen,Berti Vogts,Ernst Happel,Ruud Krol,40750,Estadio Olï¿½mpico Chateau Carreras- Cordoba,Second round,28659,Ramon Barreto Ruiz,Argentina,1978
Italy,Austria,1,,0,,Enzo Bearzot,Dino Zoff,Helmut Senekowitsch,Robert Sara,66695,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,Second round,28659,Francis Rion,Argentina,1978
Argentina,Brazil,0,,0,,Cesar Luis Menotti,Daniel Passarella,Claudio Coutinho,Émerson Leão,37326,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,Second round,28659,Karoly Palotai,Argentina,1978
Netherlands,Austria,5,,1,,Ernst Happel,Ruud Krol,Helmut Senekowitsch,Robert Sara,25050,Estadio Olï¿½mpico Chateau Carreras- Cordoba,Second round,28655,John Gordon,Argentina,1978
Germany,Italy,0,,0,,Helmut Schoen,Berti Vogts,Enzo Bearzot,Dino Zoff,67547,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,Second round,28655,Dusan Maksimovic,Argentina,1978
Brazil,Peru,3,,0,,Claudio Coutinho,Émerson Leão,Marcos Calderon,Héctor Chumpitaz,31278,San Martin- Mendoza,Second round,28655,Nicolae Rainea,Argentina,1978
Argentina,Poland,2,,0,,Cesar Luis Menotti,Daniel Passarella,Jacek Gmoch,Kazimierz Deyna,37091,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,Second round,28655,Ulf Eriksson,Argentina,1978
Brazil,Austria,1,,0,,Claudio Coutinho,Émerson Leão,Helmut Senekowitsch,Robert Sara,35221,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28652,Robert Wurtz,Argentina,1978
Spain,Sweden,1,,0,,Ladislao Kubala,Juan Manuel Asensi,Georg Ericson,Björn Nordqvist,42132,Jose Amalfitani- Buenos Aires,First round,28652,Ferdinand Biwersi,Argentina,1978
Peru,IR Iran,4,,1,,Marcos Calderon,Héctor Chumpitaz,Heshmat Mohadjerani,Ali Parvin,21262,Estadio Olï¿½mpico Chateau Carreras- Cordoba,First round,28652,Alojzy Jarguz,Argentina,1978
Scotland,Netherlands,3,,2,,Alistair Macleod,Bruce Rioch,Ernst Happel,Ruud Krol,35130,San Martin- Mendoza,First round,28652,Erich Linemayr,Argentina,1978
France,Hungary,3,,1,,Michel Hidalgo,Marius Trésor,Lajos Baroti,Zoltán Kereki,23127,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28651,Arnaldo Coelho,Argentina,1978
Poland,Mexico,3,,1,,Jacek Gmoch,Kazimierz Deyna,Jose Roca,Arturo Vázquez Ayala,22651,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,First round,28651,Jafar Namdar,Argentina,1978
Germany,Tunisia,0,,0,,Helmut Schoen,Berti Vogts,Abdelmajid Chetali,Témime Lahzami,30667,Estadio Olï¿½mpico Chateau Carreras- Cordoba,First round,28651,Cesar Orozco Guerrero,Argentina,1978
Italy,Argentina,1,,0,,Enzo Bearzot,Dino Zoff,Cesar Luis Menotti,Daniel Passarella,71712,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,First round,28651,Abraham Klein,Argentina,1978
Austria,Sweden,1,,0,,Helmut Senekowitsch,Robert Sara,Georg Ericson,Björn Nordqvist,41424,Jose Amalfitani- Buenos Aires,First round,28648,Charles Corver,Argentina,1978
Brazil,Spain,0,,0,,Claudio Coutinho,Émerson Leão,Ladislao Kubala,Juan Manuel Asensi,34771,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28648,Sergio Gonella,Argentina,1978
Netherlands,Peru,0,,0,,Ernst Happel,Ruud Krol,Marcos Calderon,Héctor Chumpitaz,28125,San Martin- Mendoza,First round,28648,Adolf Prokop,Argentina,1978
Scotland,IR Iran,1,,1,,Alistair Macleod,Archie Gemmill,Heshmat Mohadjerani,Ali Parvin,7938,Estadio Olï¿½mpico Chateau Carreras- Cordoba,First round,28648,Youssou Ndiaye,Argentina,1978
Italy,Hungary,3,,1,,Enzo Bearzot,Dino Zoff,Lajos Baroti,Zoltán Kereki,26533,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28647,Ramon Barreto Ruiz,Argentina,1978
Germany,Mexico,6,,0,,Helmut Schoen,Berti Vogts,Jose Roca,Arturo Vázquez Ayala,35258,Estadio Olï¿½mpico Chateau Carreras- Cordoba,First round,28647,Farouk Bouzo,Argentina,1978
Poland,Tunisia,1,,0,,Jacek Gmoch,Kazimierz Deyna,Abdelmajid Chetali,Témime Lahzami,9624,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,First round,28647,Angel Martinez,Argentina,1978
Argentina,France,2,,1,,Cesar Luis Menotti,Daniel Passarella,Michel Hidalgo,Marius Trésor,71666,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,First round,28647,Jean Dubach,Argentina,1978
Sweden,Brazil,1,,1,,Georg Ericson,Björn Nordqvist,Claudio Coutinho,Rivellino,32569,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28644,Clive Thomas,Argentina,1978
Austria,Spain,2,,1,,Helmut Senekowitsch,Robert Sara,Ladislao Kubala,Pirri,40841,Jose Amalfitani- Buenos Aires,First round,28644,Karoly Palotai,Argentina,1978
Peru,Scotland,3,,1,,Marcos Calderon,Héctor Chumpitaz,Alistair Macleod,Bruce Rioch,37927,Estadio Olï¿½mpico Chateau Carreras- Cordoba,First round,28644,Ulf Eriksson,Argentina,1978
Netherlands,IR Iran,3,,0,,Ernst Happel,Ruud Krol,Heshmat Mohadjerani,Ali Parvin,33431,San Martin- Mendoza,First round,28644,Alfonso Gonzalez Archundia,Argentina,1978
Italy,France,2,,1,,Enzo Bearzot,Dino Zoff,Michel Hidalgo,Marius Trésor,42373,Estadio Josï¿½ Marï¿½a Minella- Mar Del Plata,First round,28643,Nicolae Rainea,Argentina,1978
Tunisia,Mexico,3,,1,,Abdelmajid Chetali,Témime Lahzami,Jose Roca,Arturo Vázquez Ayala,17396,Arroyito - Estadio Dr. Lisandro de la Torre- Rosario,First round,28643,John Gordon,Argentina,1978
Argentina,Hungary,2,,1,,Cesar Luis Menotti,Daniel Passarella,Lajos Baroti,Zoltán Kereki,71615,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,First round,28643,Antonio Garrido,Argentina,1978
Germany,Poland,0,,0,,Helmut Schoen,Berti Vogts,Jacek Gmoch,Kazimierz Deyna,67579,El Monumental - Estadio Monumental Antonio Vespuci- Buenos Aires,First round,28642,Norberto Angel Coerezza,Argentina,1978
Netherlands,Germany,1,,2,,Rinus Michels,Johan Cruyff,Helmut Schoen,Franz Beckenbauer,78200,Olympiastadion- Munich,Final,27217,John Taylor,Germany,1974
Brazil,Poland,0,,1,,Mario Zagallo,Marinho Peres,Kazimierz Gorski,Kazimierz Deyna,77100,Olympiastadion- Munich,Third-place match,27216,Aurelio Angonese,Germany,1974
Poland,Germany,0,,1,,Kazimierz Gorski,Kazimierz Deyna,Helmut Schoen,Franz Beckenbauer,62000,Waldstadion- Frankfurt/Main,Second round,27213,Erich Linemayr,Germany,1974
Netherlands,Brazil,2,,0,,Rinus Michels,Johan Cruyff,Mario Zagallo,Marinho Peres,53700,Westfalenstadion- Dortmund,Second round,27213,Kurt Tschenscher,Germany,1974
Argentina,Germany DR,1,,1,,Vladislao Cap,Enrique Wolff,Georg Buschner,Bernd Bransch,54254,Parkstadion- Gelsenkirchen,Second round,27213,John Taylor,Germany,1974
Sweden,Yugoslavia,2,,1,,Georg Ericson,Björn Nordqvist,Miljan Miljanic,Dragan Džajić,41300,Rheinstadion- Dï¿½Sseldorf,Second round,27213,Luis Pestarino,Germany,1974
Poland,Yugoslavia,2,,1,,Kazimierz Gorski,Kazimierz Deyna,Miljan Miljanic,Jovan Aćimović,58000,Waldstadion- Frankfurt/Main,Second round,27210,Rudolf Gloeckner,Germany,1974
Argentina,Brazil,1,,2,,Vladislao Cap,Miguel Ángel Brindisi,Mario Zagallo,Marinho Peres,39400,Niedersachsenstadion- Hanover,Second round,27210,Vital Loraux,Germany,1974
Germany DR,Netherlands,0,,2,,Georg Buschner,Bernd Bransch,Rinus Michels,Johan Cruyff,68348,Parkstadion- Gelsenkirchen,Second round,27210,Ruedi Scheurer,Germany,1974
Germany,Sweden,4,,2,,Helmut Schoen,Franz Beckenbauer,Georg Ericson,Bo Larsson,67800,Rheinstadion- Dï¿½Sseldorf,Second round,27210,Pavel Kazakov,Germany,1974
Yugoslavia,Germany,0,,2,,Miljan Miljanic,Dragan Džajić,Helmut Schoen,Franz Beckenbauer,67385,Rheinstadion- Dï¿½Sseldorf,Second round,27206,Armando Marques,Germany,1974
Brazil,Germany DR,1,,0,,Mario Zagallo,Marinho Peres,Georg Buschner,Bernd Bransch,59863,Niedersachsenstadion- Hanover,Second round,27206,Clive Thomas,Germany,1974
Sweden,Poland,0,,1,,Georg Ericson,Bo Larsson,Kazimierz Gorski,Kazimierz Deyna,44955,Neckarstadion- Stuttgart,Second round,27206,Ramon Barreto Ruiz,Germany,1974
Netherlands,Argentina,4,,0,,Rinus Michels,Johan Cruyff,Vladislao Cap,Roberto Perfumo,56548,Parkstadion- Gelsenkirchen,Second round,27206,Bob Davidson,Germany,1974
Bulgaria,Netherlands,1,,4,,Hristo Mladenov,Hristo Bonev,Rinus Michels,Johan Cruyff,53300,Westfalenstadion- Dortmund,First round,27203,Tony Boskovic,Germany,1974
Poland,Italy,2,,1,,Kazimierz Gorski,Kazimierz Deyna,Ferruccio Valcareggi,Giacinto Facchetti,70100,Neckarstadion- Stuttgart,First round,27203,Hans Joachim Weyland,Germany,1974
Sweden,Uruguay,3,,0,,Georg Ericson,Bo Larsson,Roberto Porta,Ladislao Mazurkiewicz,28300,Rheinstadion- Dï¿½Sseldorf,First round,27203,Erich Linemayr,Germany,1974
Argentina,Haiti,4,,1,,Vladislao Cap,Roberto Perfumo,Antoine Tassy,Wilner Nazaire,25900,Olympiastadion- Munich,First round,27203,Pablo Sanchez Ibanez,Germany,1974
Scotland,Yugoslavia,1,,1,,Willie Ormond,Billy Bremner,Miljan Miljanic,Dragan Džajić,56000,Waldstadion- Frankfurt/Main,First round,27202,Alfonso Gonzalez Archundia,Germany,1974
Australia,Chile,0,,0,,Rale Rasic,Peter Wilson,Luis Alamos,Francisco Valdés,17400,Olympiastadion- Berlin West,First round,27202,Jafar Namdar,Germany,1974
Zaire,Brazil,0,,3,,Blagoje Vidinic,Kidumu Mantantu,Mario Zagallo,Wilson da Silva Piazza,36200,Parkstadion- Gelsenkirchen,First round,27202,Nicolae Rainea,Germany,1974
Germany DR,Germany,1,,0,,Georg Buschner,Bernd Bransch,Helmut Schoen,Franz Beckenbauer,60200,Volksparkstadion- Hamburg,First round,27202,Ramon Barreto Ruiz,Germany,1974
Haiti,Poland,0,,7,,Antoine Tassy,Wilner Nazaire,Kazimierz Gorski,Kazimierz Deyna,25300,Olympiastadion- Munich,First round,27199,George Suppiah,Germany,1974
Bulgaria,Uruguay,1,,1,,Hristo Mladenov,Hristo Bonev,Roberto Porta,Ladislao Mazurkiewicz,13400,Niedersachsenstadion- Hanover,First round,27199,John Taylor,Germany,1974
Netherlands,Sweden,0,,0,,Rinus Michels,Johan Cruyff,Georg Ericson,Bo Larsson,53700,Westfalenstadion- Dortmund,First round,27199,Werner Winsemann,Germany,1974
Argentina,Italy,1,,1,,Vladislao Cap,Roberto Perfumo,Ferruccio Valcareggi,Giacinto Facchetti,70100,Neckarstadion- Stuttgart,First round,27199,Pavel Kazakov,Germany,1974
Australia,Germany,0,,3,,Rale Rasic,Peter Wilson,Helmut Schoen,Franz Beckenbauer,53300,Volksparkstadion- Hamburg,First round,27198,Mahmoud Kamel,Germany,1974
Yugoslavia,Zaire,9,,0,,Miljan Miljanic,Dragan Džajić,Blagoje Vidinic,Kidumu Mantantu,31700,Parkstadion- Gelsenkirchen,First round,27198,Omar Delgado,Germany,1974
Chile,Germany DR,1,,1,,Luis Alamos,Francisco Valdés,Georg Buschner,Bernd Bransch,28300,Olympiastadion- Berlin West,First round,27198,Aurelio Angonese,Germany,1974
Scotland,Brazil,0,,0,,Willie Ormond,Billy Bremner,Mario Zagallo,Wilson da Silva Piazza,62000,Waldstadion- Frankfurt/Main,First round,27198,Arie Van Gemert,Germany,1974
Uruguay,Netherlands,0,,2,,Roberto Porta,Juan Carlos Masnik,Rinus Michels,Johan Cruyff,55100,Niedersachsenstadion- Hanover,First round,27195,Karoly Palotai,Germany,1974
Sweden,Bulgaria,0,,0,,Georg Ericson,Bo Larsson,Hristo Mladenov,Hristo Bonev,23800,Rheinstadion- Dï¿½Sseldorf,First round,27195,Edison A. Perez Nunez,Germany,1974
Italy,Haiti,3,,1,,Ferruccio Valcareggi,Giacinto Facchetti,Antoine Tassy,Wilner Nazaire,53000,Olympiastadion- Munich,First round,27195,Vicente Llobregat,Germany,1974
Poland,Argentina,3,,2,,Kazimierz Gorski,Kazimierz Deyna,Vladislao Cap,Roberto Perfumo,32700,Neckarstadion- Stuttgart,First round,27195,Clive Thomas,Germany,1974
Germany,Chile,1,,0,,Helmut Schoen,Franz Beckenbauer,Luis Alamos,Francisco Valdés,81100,Olympiastadion- Berlin West,First round,27194,Dogan Babacan,Germany,1974
Germany DR,Australia,2,,0,,Georg Buschner,Bernd Bransch,Rale Rasic,Peter Wilson,17000,Volksparkstadion- Hamburg,First round,27194,Youssou Ndiaye,Germany,1974
Zaire,Scotland,0,,2,,Blagoje Vidinic,Kidumu Mantantu,Willie Ormond,Billy Bremner,27000,Westfalenstadion- Dortmund,First round,27194,Gerhard Schulenburg,Germany,1974
Brazil,Yugoslavia,0,,0,,Mario Zagallo,Wilson da Silva Piazza,Miljan Miljanic,Dragan Džajić,62000,Waldstadion- Frankfurt/Main,First round,27193,Ruedi Scheurer,Germany,1974
Brazil,Italy,4,,1,,Mario Zagallo,Carlos Alberto Torres,Ferruccio Valcareggi,Giacinto Facchetti,107412,Estadio Azteca- Mexico City,Final,25740,Rudolf Gloeckner,Mexico,1970
Germany,Uruguay,1,,0,,Helmut Schoen,Uwe Seeler,Juan Hohberg,Luis Ubiña,104403,Estadio Azteca- Mexico City,Third-place match,25739,Antonio Sbardella,Mexico,1970
Italy,Germany,4,,3,,Ferruccio Valcareggi,Giacinto Facchetti,Helmut Schoen,Uwe Seeler,102444,Estadio Azteca- Mexico City,Semi-finals,25736,Arturo Yamasaki Maldonado,Mexico,1970
Brazil,Uruguay,3,,1,,Mario Zagallo,Carlos Alberto Torres,Juan Hohberg,Luis Ubiña,51261,Jalisco- Guadalajara,Semi-finals,25736,Jose Maria Ortiz De Mendibil,Mexico,1970
Brazil,Peru,4,,2,,Mario Zagallo,Carlos Alberto Torres,Didi,Héctor Chumpitaz,54233,Jalisco- Guadalajara,Quarter-finals,25733,Vital Loraux,Mexico,1970
Italy,Mexico,4,,1,,Ferruccio Valcareggi,Giacinto Facchetti,Raul Cardenas,Gustavo Peña,26851,Luis Dosal- Toluca,Quarter-finals,25733,Ruedi Scheurer,Mexico,1970
Uruguay,Soviet Union,1,,0,,Juan Hohberg,Luis Ubiña,Gavril Kachalin,Albert Shesternyov,26085,Estadio Azteca- Mexico City,Quarter-finals,25733,Laurens Van Ravens,Mexico,1970
Germany,England,3,,2,,Helmut Schoen,Uwe Seeler,Alf Ramsey,Bobby Moore,23357,Nou Camp - Estadio Leï¿½n- Leon,Quarter-finals,25733,Norberto Angel Coerezza,Mexico,1970
Mexico,Belgium,1,,0,,Raul Cardenas,Gustavo Peña,Raymond Goethals,Paul Van Himst,108192,Estadio Azteca- Mexico City,Group stage,25730,Norberto Angel Coerezza,Mexico,1970
Italy,Israel,0,,0,,Ferruccio Valcareggi,Giacinto Facchetti,Emmanuel Sheffer,Mordechai Spiegler,9890,Luis Dosal- Toluca,Group stage,25730,Ayrton Vieira De Moraes,Mexico,1970
Bulgaria,Morocco,1,,1,,Stefan Bozhkov,Aleksandar Shalamanov,Blagoje Vidinic,Driss Bamous,12299,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25730,Antonio Saldanha Ribeiro,Mexico,1970
England,Czechoslovakia,1,,0,,Alf Ramsey,Bobby Moore,Jozef Marko,Ivo Viktor,49292,Jalisco- Guadalajara,Group stage,25730,Roger Machin,Mexico,1970
Germany,Peru,3,,1,,Helmut Schoen,Uwe Seeler,Didi,Héctor Chumpitaz,17875,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25729,Abel Aguilar Elizalde,Mexico,1970
Brazil,Romania,3,,2,,Mario Zagallo,Carlos Alberto Torres,Angelo Niculescu,Mircea Lucescu,50804,Jalisco- Guadalajara,Group stage,25729,Ferdinand Marschall,Mexico,1970
Sweden,Uruguay,1,,0,,Orvar Bergmark,Björn Nordqvist,Juan Hohberg,Luis Ubiña,18163,Cuauhtemoc- Puebla,Group stage,25729,Henry Landauer,Mexico,1970
Soviet Union,El Salvador,2,,0,,Gavril Kachalin,Albert Shesternyov,Hernan Carrasco,Salvador Mariona,89979,Estadio Azteca- Mexico City,Group stage,25729,Rafael Hormazabal Diaz,Mexico,1970
Mexico,El Salvador,4,,0,,Raul Cardenas,Gustavo Peña,Hernan Carrasco,Salvador Mariona,103058,Estadio Azteca- Mexico City,Group stage,25726,Aly Hussein Kandil,Mexico,1970
Brazil,England,1,,0,,Mario Zagallo,Carlos Alberto Torres,Alf Ramsey,Bobby Moore,66843,Jalisco- Guadalajara,Group stage,25726,Abraham Klein,Mexico,1970
Germany,Bulgaria,5,,2,,Helmut Schoen,Uwe Seeler,Stefan Bozhkov,Boris Gaganelov,12710,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25726,Jose Maria Ortiz De Mendibil,Mexico,1970
Sweden,Israel,1,,1,,Orvar Bergmark,Tommy Svensson,Emmanuel Sheffer,Mordechai Spiegler,9624,Luis Dosal- Toluca,Group stage,25726,Seyoum Tarekegn,Mexico,1970
Romania,Czechoslovakia,2,,1,,Angelo Niculescu,Mircea Lucescu,Jozef Marko,Alexander Horváth,56818,Jalisco- Guadalajara,Group stage,25725,Diego De Leo,Mexico,1970
Uruguay,Italy,0,,0,,Juan Hohberg,Luis Ubiña,Ferruccio Valcareggi,Giacinto Facchetti,29968,Cuauhtemoc- Puebla,Group stage,25725,Rudolf Gloeckner,Mexico,1970
Soviet Union,Belgium,4,,1,,Gavril Kachalin,Albert Shesternyov,Raymond Goethals,Paul Van Himst,95261,Estadio Azteca- Mexico City,Group stage,25725,Ruedi Scheurer,Mexico,1970
Peru,Morocco,3,,0,,Didi,Héctor Chumpitaz,Blagoje Vidinic,Driss Bamous,13537,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25725,Tofik Bakhramov,Mexico,1970
Belgium,El Salvador,3,,0,,Raymond Goethals,Paul Van Himst,Hernan Carrasco,Salvador Mariona,92205,Estadio Azteca- Mexico City,Group stage,25722,Andrei Radulescu,Mexico,1970
Brazil,Czechoslovakia,4,,1,,Mario Zagallo,Carlos Alberto Torres,Jozef Marko,Alexander Horváth,52897,Jalisco- Guadalajara,Group stage,25722,Ramon Barreto Ruiz,Mexico,1970
Italy,Sweden,1,,0,,Ferruccio Valcareggi,Giacinto Facchetti,Orvar Bergmark,Björn Nordqvist,13433,Luis Dosal- Toluca,Group stage,25722,John Taylor,Mexico,1970
Germany,Morocco,2,,1,,Helmut Schoen,Uwe Seeler,Blagoje Vidinic,Driss Bamous,12942,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25722,Laurens Van Ravens,Mexico,1970
England,Romania,1,,0,,Alf Ramsey,Bobby Moore,Angelo Niculescu,Mircea Lucescu,50560,Jalisco- Guadalajara,Group stage,25721,Vital Loraux,Mexico,1970
Peru,Bulgaria,3,,2,,Didi,Héctor Chumpitaz,Stefan Bozhkov,Ivan Dimitrov,13765,Nou Camp - Estadio Leï¿½n- Leon,Group stage,25721,Antonio Sbardella,Mexico,1970
Uruguay,Israel,2,,0,,Juan Hohberg,Pedro Rocha,Emmanuel Sheffer,Mordechai Spiegler,20654,Cuauhtemoc- Puebla,Group stage,25721,Bob Davidson,Mexico,1970
Mexico,Soviet Union,0,,0,,Raul Cardenas,Gustavo Peña,Gavril Kachalin,Albert Shesternyov,107160,Estadio Azteca- Mexico City,Group stage,25719,Kurt Tschenscher,Mexico,1970
England,Germany,4,,2,,Alf Ramsey,Bobby Moore,Helmut Schoen,Uwe Seeler,96924,Wembley Stadium- London,Final,24318,Gottfried Dienst,England,1966
Portugal,Soviet Union,2,,1,,Otto Gloria,Mário Coluna,Nikolai Morozov,Lev Yashin,87696,Wembley Stadium- London,Third-place match,24316,Kenneth Dagnall,England,1966
England,Portugal,2,,1,,Alf Ramsey,Bobby Moore,Otto Gloria,Mário Coluna,94493,Wembley Stadium- London,Semi-finals,24314,Pierre Schwinte,England,1966
Germany,Soviet Union,2,,1,,Helmut Schoen,Uwe Seeler,Nikolai Morozov,Albert Shesternyov,38273,Goodison Park- Liverpool,Semi-finals,24313,Concetto Lo Bello,England,1966
